x, density, velocity, temperature, pressure, Mach-number, itime =     1501, time =   0.150000E+00
  0.500000E-02,  0.444841E+00,  0.693191E+00,  0.276259E-01,  0.352698E+01,  0.208061E+00,  0.000000E+00
  0.150000E-01,  0.444684E+00,  0.694367E+00,  0.276220E-01,  0.352523E+01,  0.208428E+00,  0.000000E+00
  0.250000E-01,  0.444448E+00,  0.696132E+00,  0.276161E-01,  0.352262E+01,  0.208980E+00,  0.000000E+00
  0.350000E-01,  0.444087E+00,  0.698842E+00,  0.276071E-01,  0.351861E+01,  0.209828E+00,  0.000000E+00
  0.450000E-01,  0.443526E+00,  0.703049E+00,  0.275932E-01,  0.351239E+01,  0.211144E+00,  0.000000E+00
  0.550000E-01,  0.442695E+00,  0.709293E+00,  0.275725E-01,  0.350318E+01,  0.213100E+00,  0.000000E+00
  0.650000E-01,  0.441511E+00,  0.718200E+00,  0.275430E-01,  0.349008E+01,  0.215891E+00,  0.000000E+00
  0.750000E-01,  0.439891E+00,  0.730421E+00,  0.275026E-01,  0.347217E+01,  0.219726E+00,  0.000000E+00
  0.850000E-01,  0.437760E+00,  0.746548E+00,  0.274494E-01,  0.344866E+01,  0.224795E+00,  0.000000E+00
  0.950000E-01,  0.435066E+00,  0.767029E+00,  0.273818E-01,  0.341900E+01,  0.231247E+00,  0.000000E+00
  0.105000E+00,  0.431785E+00,  0.792106E+00,  0.272993E-01,  0.338299E+01,  0.239168E+00,  0.000000E+00
  0.115000E+00,  0.427927E+00,  0.821790E+00,  0.272017E-01,  0.334078E+01,  0.248575E+00,  0.000000E+00
  0.125000E+00,  0.423531E+00,  0.855884E+00,  0.270898E-01,  0.329286E+01,  0.259422E+00,  0.000000E+00
  0.135000E+00,  0.418653E+00,  0.894040E+00,  0.269649E-01,  0.323993E+01,  0.271614E+00,  0.000000E+00
  0.145000E+00,  0.413362E+00,  0.935838E+00,  0.268284E-01,  0.318278E+01,  0.285035E+00,  0.000000E+00
  0.155000E+00,  0.407721E+00,  0.980878E+00,  0.266816E-01,  0.312217E+01,  0.299574E+00,  0.000000E+00
  0.165000E+00,  0.401784E+00,  0.102886E+01,  0.265253E-01,  0.305869E+01,  0.315154E+00,  0.000000E+00
  0.175000E+00,  0.395648E+00,  0.107890E+01,  0.263617E-01,  0.299340E+01,  0.331504E+00,  0.000000E+00
  0.185000E+00,  0.389638E+00,  0.112898E+01,  0.262005E-01,  0.292991E+01,  0.347956E+00,  0.000000E+00
  0.195000E+00,  0.383771E+00,  0.117723E+01,  0.260421E-01,  0.286834E+01,  0.363929E+00,  0.000000E+00
  0.205000E+00,  0.378215E+00,  0.122454E+01,  0.258908E-01,  0.281039E+01,  0.379660E+00,  0.000000E+00
  0.215000E+00,  0.373012E+00,  0.127073E+01,  0.257480E-01,  0.275644E+01,  0.395072E+00,  0.000000E+00
  0.225000E+00,  0.367886E+00,  0.131269E+01,  0.256062E-01,  0.270358E+01,  0.409245E+00,  0.000000E+00
  0.235000E+00,  0.363271E+00,  0.135321E+01,  0.254775E-01,  0.265626E+01,  0.422944E+00,  0.000000E+00
  0.245000E+00,  0.359276E+00,  0.139229E+01,  0.253654E-01,  0.261548E+01,  0.436118E+00,  0.000000E+00
  0.255000E+00,  0.355341E+00,  0.142399E+01,  0.252543E-01,  0.257551E+01,  0.447029E+00,  0.000000E+00
  0.265000E+00,  0.351997E+00,  0.145212E+01,  0.251592E-01,  0.254166E+01,  0.456719E+00,  0.000000E+00
  0.275000E+00,  0.349592E+00,  0.147931E+01,  0.250905E-01,  0.251741E+01,  0.465906E+00,  0.000000E+00
  0.285000E+00,  0.347330E+00,  0.149826E+01,  0.250258E-01,  0.249466E+01,  0.472485E+00,  0.000000E+00
  0.295000E+00,  0.345421E+00,  0.151119E+01,  0.249709E-01,  0.247551E+01,  0.477086E+00,  0.000000E+00
  0.305000E+00,  0.344429E+00,  0.152409E+01,  0.249425E-01,  0.246559E+01,  0.481434E+00,  0.000000E+00
  0.315000E+00,  0.343742E+00,  0.153260E+01,  0.249229E-01,  0.245874E+01,  0.484312E+00,  0.000000E+00
  0.325000E+00,  0.343062E+00,  0.153548E+01,  0.249033E-01,  0.245195E+01,  0.485411E+00,  0.000000E+00
  0.335000E+00,  0.342743E+00,  0.153752E+01,  0.248940E-01,  0.244876E+01,  0.486146E+00,  0.000000E+00
  0.345000E+00,  0.342737E+00,  0.153958E+01,  0.248939E-01,  0.244870E+01,  0.486800E+00,  0.000000E+00
  0.355000E+00,  0.342725E+00,  0.154007E+01,  0.248936E-01,  0.244858E+01,  0.486957E+00,  0.000000E+00
  0.365000E+00,  0.342727E+00,  0.153969E+01,  0.248939E-01,  0.244863E+01,  0.486834E+00,  0.000000E+00
  0.375000E+00,  0.342788E+00,  0.153857E+01,  0.248959E-01,  0.244926E+01,  0.486463E+00,  0.000000E+00
  0.385000E+00,  0.342940E+00,  0.153681E+01,  0.249006E-01,  0.245082E+01,  0.485857E+00,  0.000000E+00
  0.395000E+00,  0.343124E+00,  0.153503E+01,  0.249065E-01,  0.245271E+01,  0.485239E+00,  0.000000E+00
  0.405000E+00,  0.343317E+00,  0.153408E+01,  0.249127E-01,  0.245470E+01,  0.484878E+00,  0.000000E+00
  0.415000E+00,  0.343435E+00,  0.153313E+01,  0.249165E-01,  0.245592E+01,  0.484542E+00,  0.000000E+00
  0.425000E+00,  0.343488E+00,  0.153206E+01,  0.249181E-01,  0.245646E+01,  0.484186E+00,  0.000000E+00
  0.435000E+00,  0.343535E+00,  0.153126E+01,  0.249193E-01,  0.245691E+01,  0.483923E+00,  0.000000E+00
  0.445000E+00,  0.343603E+00,  0.153079E+01,  0.249207E-01,  0.245753E+01,  0.483761E+00,  0.000000E+00
  0.455000E+00,  0.343675E+00,  0.153051E+01,  0.249225E-01,  0.245822E+01,  0.483656E+00,  0.000000E+00
  0.465000E+00,  0.343726E+00,  0.153018E+01,  0.249243E-01,  0.245876E+01,  0.483532E+00,  0.000000E+00
  0.475000E+00,  0.343753E+00,  0.152971E+01,  0.249261E-01,  0.245913E+01,  0.483366E+00,  0.000000E+00
  0.485000E+00,  0.343766E+00,  0.152923E+01,  0.249281E-01,  0.245943E+01,  0.483195E+00,  0.000000E+00
  0.495000E+00,  0.343783E+00,  0.152885E+01,  0.249305E-01,  0.245979E+01,  0.483053E+00,  0.000000E+00
  0.505000E+00,  0.343810E+00,  0.152860E+01,  0.249330E-01,  0.246023E+01,  0.482950E+00,  0.000000E+00
  0.515000E+00,  0.343842E+00,  0.152838E+01,  0.249345E-01,  0.246061E+01,  0.482865E+00,  0.000000E+00
  0.525000E+00,  0.343871E+00,  0.152809E+01,  0.249351E-01,  0.246086E+01,  0.482769E+00,  0.000000E+00
  0.535000E+00,  0.343894E+00,  0.152777E+01,  0.249348E-01,  0.246100E+01,  0.482670E+00,  0.000000E+00
  0.545000E+00,  0.343922E+00,  0.152754E+01,  0.249343E-01,  0.246116E+01,  0.482601E+00,  0.000000E+00
  0.555000E+00,  0.343965E+00,  0.152741E+01,  0.249336E-01,  0.246140E+01,  0.482568E+00,  0.000000E+00
  0.565000E+00,  0.344021E+00,  0.152737E+01,  0.249322E-01,  0.246166E+01,  0.482567E+00,  0.000000E+00
  0.575000E+00,  0.344093E+00,  0.152730E+01,  0.249288E-01,  0.246184E+01,  0.482578E+00,  0.000000E+00
  0.585000E+00,  0.344205E+00,  0.152716E+01,  0.249215E-01,  0.246191E+01,  0.482604E+00,  0.000000E+00
  0.595000E+00,  0.344419E+00,  0.152698E+01,  0.249060E-01,  0.246192E+01,  0.482700E+00,  0.000000E+00
  0.605000E+00,  0.344869E+00,  0.152686E+01,  0.248737E-01,  0.246194E+01,  0.482975E+00,  0.000000E+00
  0.615000E+00,  0.345766E+00,  0.152681E+01,  0.248100E-01,  0.246202E+01,  0.483578E+00,  0.000000E+00
  0.625000E+00,  0.347434E+00,  0.152681E+01,  0.246920E-01,  0.246213E+01,  0.484731E+00,  0.000000E+00
  0.635000E+00,  0.350386E+00,  0.152679E+01,  0.244848E-01,  0.246220E+01,  0.486774E+00,  0.000000E+00
  0.645000E+00,  0.355400E+00,  0.152676E+01,  0.241397E-01,  0.246225E+01,  0.490228E+00,  0.000000E+00
  0.655000E+00,  0.363619E+00,  0.152672E+01,  0.235944E-01,  0.246228E+01,  0.495849E+00,  0.000000E+00
  0.665000E+00,  0.376641E+00,  0.152669E+01,  0.227789E-01,  0.246230E+01,  0.504639E+00,  0.000000E+00
  0.675000E+00,  0.396610E+00,  0.152666E+01,  0.216321E-01,  0.246232E+01,  0.517831E+00,  0.000000E+00
  0.685000E+00,  0.426297E+00,  0.152662E+01,  0.201257E-01,  0.246232E+01,  0.536847E+00,  0.000000E+00
  0.695000E+00,  0.469119E+00,  0.152658E+01,  0.182885E-01,  0.246231E+01,  0.563153E+00,  0.000000E+00
  0.705000E+00,  0.529022E+00,  0.152657E+01,  0.162177E-01,  0.246233E+01,  0.598020E+00,  0.000000E+00
  0.715000E+00,  0.610115E+00,  0.152657E+01,  0.140624E-01,  0.246237E+01,  0.642218E+00,  0.000000E+00
  0.725000E+00,  0.715941E+00,  0.152659E+01,  0.119840E-01,  0.246242E+01,  0.695688E+00,  0.000000E+00
  0.735000E+00,  0.846287E+00,  0.152658E+01,  0.101383E-01,  0.246244E+01,  0.756368E+00,  0.000000E+00
  0.745000E+00,  0.981975E+00,  0.152658E+01,  0.873746E-02,  0.246245E+01,  0.814748E+00,  0.000000E+00
  0.755000E+00,  0.108735E+01,  0.152659E+01,  0.789078E-02,  0.246246E+01,  0.857350E+00,  0.000000E+00
  0.765000E+00,  0.116316E+01,  0.152661E+01,  0.737652E-02,  0.246249E+01,  0.886745E+00,  0.000000E+00
  0.775000E+00,  0.121539E+01,  0.152665E+01,  0.705969E-02,  0.246253E+01,  0.906448E+00,  0.000000E+00
  0.785000E+00,  0.125001E+01,  0.152670E+01,  0.686430E-02,  0.246259E+01,  0.919286E+00,  0.000000E+00
  0.795000E+00,  0.127216E+01,  0.152672E+01,  0.674479E-02,  0.246259E+01,  0.927404E+00,  0.000000E+00
  0.805000E+00,  0.128578E+01,  0.152669E+01,  0.667305E-02,  0.246248E+01,  0.932359E+00,  0.000000E+00
  0.815000E+00,  0.129362E+01,  0.152648E+01,  0.663125E-02,  0.246198E+01,  0.935166E+00,  0.000000E+00
  0.825000E+00,  0.129741E+01,  0.152561E+01,  0.660681E-02,  0.246010E+01,  0.936359E+00,  0.000000E+00
  0.835000E+00,  0.129801E+01,  0.152245E+01,  0.658577E-02,  0.245338E+01,  0.935914E+00,  0.000000E+00
  0.845000E+00,  0.129301E+01,  0.151167E+01,  0.654979E-02,  0.243059E+01,  0.931831E+00,  0.000000E+00
  0.855000E+00,  0.126677E+01,  0.147605E+01,  0.648014E-02,  0.235594E+01,  0.914751E+00,  0.000000E+00
  0.865000E+00,  0.117804E+01,  0.136319E+01,  0.629104E-02,  0.212699E+01,  0.857416E+00,  0.000000E+00
  0.875000E+00,  0.950632E+00,  0.102511E+01,  0.574135E-02,  0.156642E+01,  0.674929E+00,  0.000000E+00
  0.885000E+00,  0.627076E+00,  0.347155E+00,  0.457278E-02,  0.822967E+00,  0.256111E+00,  0.000000E+00
  0.895000E+00,  0.518044E+00,  0.487053E-01,  0.405240E-02,  0.602506E+00,  0.381694E-01,  0.000000E+00
  0.905000E+00,  0.502266E+00,  0.588476E-02,  0.398700E-02,  0.574728E+00,  0.464944E-02,  0.000000E+00
  0.915000E+00,  0.500272E+00,  0.693948E-03,  0.397999E-02,  0.571439E+00,  0.548759E-03,  0.000000E+00
  0.925000E+00,  0.500032E+00,  0.815422E-04,  0.397920E-02,  0.571052E+00,  0.644881E-04,  0.000000E+00
  0.935000E+00,  0.500004E+00,  0.957357E-05,  0.397911E-02,  0.571006E+00,  0.757140E-05,  0.000000E+00
  0.945000E+00,  0.500000E+00,  0.112373E-05,  0.397910E-02,  0.571001E+00,  0.888719E-06,  0.000000E+00
  0.955000E+00,  0.500000E+00,  0.131880E-06,  0.397909E-02,  0.571000E+00,  0.104300E-06,  0.000000E+00
  0.965000E+00,  0.500000E+00,  0.154745E-07,  0.397909E-02,  0.571000E+00,  0.122383E-07,  0.000000E+00
  0.975000E+00,  0.500000E+00,  0.181530E-08,  0.397909E-02,  0.571000E+00,  0.143566E-08,  0.000000E+00
  0.985000E+00,  0.500000E+00,  0.213170E-09,  0.397909E-02,  0.571000E+00,  0.168589E-09,  0.000000E+00
  0.995000E+00,  0.500000E+00,  0.226469E-10,  0.397909E-02,  0.571000E+00,  0.179107E-10,  0.000000E+00
